generator:output:electricity,manufacturer,model,name,longitude,latitude
yes,Enercon,E-66,,8.714726,51.9920953
600 kW,NEG Micon,,,12.1776641,50.8786026
3.0 MW,Vestas,V112,,13.6827752,52.6798
3.0 MW,Vestas,V 112,,13.6870941,52.681286
3.0 MW,Vestas,V 112,,13.6875511,52.686767
yes,,,,7.5548088,51.3172816
1500 kW,Südwind,,Bretzenstein 2,10.8340466,50.1065139
600 kW,NEG Micon,,,12.1849617,50.8778102
2300 kW,Enercon,E-82 E2,,8.6478883,51.7005502
,,,,13.358469,52.2217738
,,,,13.356465,52.2224877
1.3 MW,AN Wind Energie,,,8.4113709,52.8247346
1.3 MW,AN Wind Energie,,,8.4077554,52.8251135
1.3 MW,AN Wind Energie,,,8.4004059,52.8228336
1 MW,,,,8.7884341,52.9187199
,,,,8.7734731,52.9368989
,,,,12.6300288,48.0207164
,,,,12.6309528,48.01846
,,,,10.0449043,49.7484209
,,,,8.6670902,53.1300498
,,,,9.3172988,51.8630584
1000 kW,Fuhrländer,FL1000,,8.9773844,49.8761704
,,,GE78991946,12.6568432,50.9271183
,,,GE78991944,12.6581398,50.9254567
2 MW,,,,12.654632,50.9229314
2 MW,,,,12.6524907,50.9251545
2 MW,,,,12.6515567,50.9280774
500,Enercon,,Airwin,7.3930618,51.482762
,,,,10.5697671,50.9173133
37 kW,Südwind,N1237,,13.7385583,52.3792763
,,,,8.712547,53.0841194
,,,,8.7095479,53.0849853
,,,,13.2203373,51.0829044
,,,,13.2234334,51.0809866
,,,GE 15400367,13.1983736,51.0404978
,,,GE 15400368,13.1988068,51.0382603
,,,GE 15400369,13.1992494,51.0359009
,,,GE 15400363,13.1993415,51.0335182
,,,GE 15400362,13.2000975,51.0311644
,,,E ??,13.2002634,51.0289902
,,,E 70496,13.2101922,51.0311354
,,,E 70495,13.2102844,51.0326949
,,,GE 15400248,13.2111141,51.0352864
,,,GE 15400693,13.2114367,51.0376052
,,,E 70553,13.1976437,51.0425846
,,,E 70552,13.1830566,51.0411377
,,,GE 15400364,13.1897797,51.0395596
,,,GE 15400370,13.1900171,51.0373203
,,,GE 15400365,13.1907992,51.0353531
,,,E ??,13.1832018,51.0353443
,,,GE 15400366,13.191274,51.0331926
1.5 MW,GE (Enron),,GE15400247,13.1842911,51.0186462
,,,,10.0005595,54.6329131
,,,,10.0011334,54.6302305
,,,,9.9969533,54.6302363
,,,,9.5781956,49.3274721
yes,,,GE78991943,12.666207,50.9343994
yes,,,,12.6644617,50.9367032
yes,,,GE78991942,12.6607944,50.9342325
yes,,,GE78991941,12.6614837,50.9325226
2 MW,,,,12.6556572,50.9353288
2 MW,,,,12.6574079,50.933449
,,Enercon E-30,,9.4564029,54.7718269
1.3 MW,Nordex,,,9.1626191,51.4206754
1.3 MW,Nordex,,,9.1630027,51.4182233
,,,WEA NX-102 150kW,9.322101,52.601087
1.3 MW,,,,9.4644749,52.6230239
1.3 MW,,,,9.4498488,52.6240122
1.3 MW,,,,9.4596522,52.6224654
1.3 MW,,,,9.4598453,52.6241196
1.3 MW,,,,9.4661808,52.6284802
1.3 MW,,,,9.4664704,52.6251812
1.3 MW,,,,9.4531613,52.6228399
1.3 MW,,,,9.4576327,52.6274448
1.3 MW,,,,9.4515306,52.6258248
1.3 MW,,,,9.4525579,52.6279495
1.3 MW,Nordex,N-60,,11.2612974,52.1465158
1.3 MW,Nordex,N-60,,11.2490872,52.152446
1.3 MW,Nordex,N-60,,11.2412551,52.1560532
1.3 MW,Nordex,N-60,,11.2451497,52.1542562
1.3 MW,Nordex,N-60,,11.2504425,52.146952
1.3 MW,Nordex,N-60,,11.2418726,52.1519263
1.3 MW,Nordex,N-60,,11.2533205,52.1508938
1.3 MW,Nordex,N-60,,11.2588966,52.1497321
1.3 MW,Nordex,N-60,,11.255941,52.1459167
1.3 MW,Nordex,N-60,,11.2369958,52.1520378
